Nominal Size|M,Thread Pitch|P (mm),Head Across Flats|S (mm),Head Across Points|e (mm),Head Height|k (mm),Thread Length|b (l<=125) (mm),Thread Length|b (l>125<=200) (mm),Thread Length|b (l>200) (mm),Minimum Length|L (mm)
M 1.6,0.35,3.2,3.7,1.1,9,15,28,
M 2,0.4,4,4.6,1.4,10,16,29,
M 2.5,0.45,5,5.8,1.7,11,17,30,
M 3,0.5,5.5,6.4,2,12,18,31,
M 4,0.7,7,8.1,2.8,14,20,33
M 5,0.8,8,9.2,3.5,16,22,35,25
M 6,1,10,11.6,4,18,24,37,30
M 8,1.25,13,13,5.3,22,28,41,40
M 10,1.5,16,18.5,6.4,26,32,45,45
M 12,1.75,18,20.8,7.5,30,36,49,48
M 16,2,24,27.7,10,38,44,57,64
M 20,2.5,30,34.6,12.5,46,52,65,80
M 24,3,36,41.6,15,54,60,73,90
